,0
Désignation, LDLC Venus PW35
Marque, LDLCLDLC
Modèle, PW35
Système d'exploitation, Sans OS
Famille OS, Sans OS
Système d'exploitation fourni, Non
Marque processeur, Intel
Processeur, Intel Core i3
Plateforme (Proc.), Intel Comet Lake
Type de processeur, Intel Core i3-10110U (Dual-Core 2.1GHz / 4.1GHz Turbo - Cache 4Mo - TDP-15W)
Fréquence CPU, 2.1GHz
Nombre de core, 2
Taille de la mémoire, 8Go
Nombre de barrettes, 1
Nombre de slots mémoire disponibles, 1
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Taille de mémoire Max, 16Go
Chipset graphique, Intel UHD Graphics
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 14pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-512Go
Disque dur, SSD-512Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - SATA-6Gb/s
Nombre de disques, 1
Nombre de disques max, 1
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," micro SD,  micro SDHC,  micro SDXC"
Norme(s) réseau sans-fil, Wi-Fi 6AX
Technologie Bluetooth, Bluetooth 5.1
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1xUSB-3.0,  1xUSB-3.1,  1xDisplayPort USB Type C,  1xHDMI Femelle"
Couleur, Noir
Profondeur, 216.8mm
Largeur, 322mm
Epaisseur, 16.5mm
Poids, 1kg
Gamme, LDLC Venus
Ultrabook, Oui
Hybride / Convertible, Non
Autonomie, 16Heure(s)
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeurGarantie limitée

Les PC Portables de marque LDLC bénéficient d'une garantie commerciale de 2ans. Cette garantie ne s'applique pas aux batteries contenues dans ces équipements. Les batteries contenues dans les PC Portables LDLC bénéficient quant à elles d'une garantie commerciale de 6mois.
Garantie légale, Voir les modalités
