,0
Désignation, Toshiba Satellite Pro A50-C-344
Marque, Toshiba / DynabookToshiba / Dynabook
Modèle, PS575E-3FS02TFR
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i5
Plateforme (Proc.), Intel Skylake
Type de processeur, Intel Core i5-6200U (Dual-Core 2.3GHz / 2.8GHz Turbo - Cache 3Mo)
Fréquence CPU, 2.3GHz
Nombre de core, 2.8
Taille de la mémoire, 8Go
Type de mémoire, DDR3
Fréquence(s) Mémoire, DDR3 1600MHz
Chipset graphique, Intel HD Graphics 520
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1366x768pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-256Go
Disque dur, SSD-256Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Lecteur Optique," Graveur CD,  Graveur DVD,  Lecteur CD,  Lecteur DVD"
Lecteur de cartes," Multimedia Card,  SD (Secure Digital),  SDHC,  SDXC,  UHS-I"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Wi-Fi B (IEEE-802.11b),  Wi-Fi A (IEEE-802.11a),  Wi-Fi G (IEEE-802.11g),  Wi-Fi N-150Mbps (IEEE-802.11n),  Wi-Fi AC"
Technologie Bluetooth, Bluetooth 4.1
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1xRJ45,  2xUSB-2.0,  2xUSB-3.0,  1xHDMI Femelle,  1xVGA (D-sub 15Femelle)"
Couleur, Noir
Profondeur, 258mm
Largeur, 379mm
Epaisseur, 23.95mm
Poids, 2kg
Gamme, Toshiba Satellite Pro
Ultrabook, Non
Hybride / Convertible, Non
Autonomie, 9Heure(s)
Nombre de cellules, 4
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 1an constructeur
Garantie légale, Voir les modalités
