,0
Désignation, LDLC PC10iSandy
Marque, LDLCLDLC
Modèle, PC10ISANDY KABY EDITION
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i5-8400 (6-Core 2.8GHz - Turbo 4.0GHz - Cache 9Mo - TDP-65W)
Processeur, Intel Core i5
Fréquence CPU, 2.8GHz
Chipset, Intel B360Express
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-240Go + HDD-1To
Disque dur, SSD-240Go
Disque secondaire, HDD-1To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - SATA-6Gb/s
Lecteur Optique, Graveur DVD Super Multi
Lecteur de disquettes, Non
Chipset graphique, Intel HD Graphics 630
VR Ready (réalité virtuelle), Non
Sans-fil, Oui
Norme(s) réseau sans-fil, Wi-Fi N-300Mbps (IEEE-802.11n)
Connecteurs panneau avant," Casque (Jack 3.5mm Femelle),  Micro (Jack3.5mm Femelle),  1xUSB-2.0,  1xUSB-3.0"
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  2xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  2xUSB-3.0,  2xUSB-3.1,  1xDVI Femelle,  1xVGA (D-sub 15Femelle)"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Puissance, 700W
Monté, Oui
Gamme de PC LDLC, Publik
Usage, Familial
Garantie légale, Voir les modalités
