,0
Désignation, MSI Infinite 8RB-613EU
Marque, MSIMSI
Modèle, INFINITE-8RB-613EU
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i5-8400 (Hexa-Core 2.8GHz / 4GHz Turbo - Cache 9Mo)
Processeur, Intel Core i5
Fréquence CPU, 2.8GHz
Chipset, Intel H310Express
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-128Go + HDD-1To
Disque dur, SSD-128Go
Disque secondaire, HDD-1To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - SATA-6Gb/s
Vitesse de rotation, 7200RPM
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce GTX-1050Ti
Taille mémoire vidéo, 4Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Non
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Intel I219-V
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Bluetooth 4.2,  Wi-Fi AC"
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  1xUSB-2.0,  1xUSB-3.0,  1xUSB-3.0Type C"
Connecteurs panneau arrière," 1xLine IN (Jack 3.5mm Femelle),  1xLine OUT (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  4xUSB-2.0,  2xUSB-3.0,  1xDisplayPort Femelle,  1xDVI Femelle,  1xHDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Largeur, 210mm
Hauteur, 450mm
Profondeur, 488mm
Poids, 13kg
Puissance, 350W
Monté, Oui
Technologie Intel vPro, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
