,0
Désignation, MSI WE65 9TI-009FR Workstation
Marque, MSIMSI
Modèle, WE65 9TI-009FR
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i7
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i7-9750H (Hexa-Core 2.6GHz / 4.5GHz Turbo - 12Threads - Cache 12Mo)
Fréquence CPU, 2.6GHz
Nombre de core, 6
Chipset, Mobile Intel HM370Express
Taille de la mémoire, 16Go
Nombre de barrettes, 2
Nombre de slots mémoire disponibles, 0
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Taille de mémoire Max, 64Go
Chipset graphique, NVIDIA Quadro T1000
Taille mémoire vidéo, 4Go
Type mémoire vidéo, GDDR5
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-512Go
Disque dur, SSD-512Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - PCI-E NVMe
Nombre de disques, 1
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," SD (Secure Digital),  SDHC,  SDXC"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi 6AX
Technologie Bluetooth, Bluetooth 5.0
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Type d'activités, Graphisme
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  1xRJ45,  3xUSB-3.0,  1xUSB-3.0Type C,  1xMini DisplayPort,  1xHDMI Femelle"
Couleur, Noir
Profondeur, 248mm
Largeur, 357.7mm
Poids, 2.23kg
Ultrabook, Non
Garantie commerciale, 3ans constructeur
Garantie légale, Voir les modalités
