,0
Désignation, LDLC Saturne QD3-16-H20S5P
Marque, LDLCLDLC
Modèle, QD3-16-H20S5P
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i7
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i7-8750H (Hexa-Core 2.2GHz / 4.1GHz Turbo - 12Threads - Cache 9Mo)
Fréquence CPU, 2.2GHz
Nombre de core, 6
Taille de la mémoire, 16Go
Nombre de barrettes, 1
Nombre de slots mémoire disponibles, 1
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Taille de mémoire Max, 64Go
Chipset graphique, NVIDIA Quadro P3200
Taille mémoire vidéo, 6Go
Type mémoire vidéo, GDDR5
Max-Q (Design GPU), Non
Ecran tactile, Non
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 3840x2160pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-480Go + HDD-2To
Disque dur, SSD-480Go
Disque secondaire, HDD-2To
Type de Disque," HDD (Hard Disk Drive),  SSD (Solid State Drive)"
Vitesse de rotation, 5400RPM
Interface du disque dur," M.2 - PCI-E-3.0 4x + SATA-6Gb/s,  Serial ATA-6Gb/s (SATA Revision 3)"
Nombre de disques, 2
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," SD (Secure Digital),  Multimedia Card,  mini SD,  RS MultiMedia Card,  SDHC,  SDXC"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Type d'activités, Graphisme
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xPort pour clef Kensington,  1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  1xRJ45,  3xUSB-3.0,  2xUSB-3.1Type C,  2xMini DisplayPort,  1xHDMI Femelle"
Couleur, Noir
Profondeur, 255mm
Largeur, 380mm
Epaisseur, 18.6mm
Poids, 1.98kg
Gamme, LDLC Saturne
Ultrabook, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeurGarantie limitée

Les PC Portables de marque LDLC bénéficient d'une garantie commerciale de 2ans. Cette garantie ne s'applique pas aux batteries contenues dans ces équipements. Les batteries contenues dans les PC Portables LDLC bénéficient quant à elles d'une garantie commerciale de 6mois.
Garantie légale, Voir les modalités
