,0
Désignation, ASUS ProArt Station D940MX-79700K016R
Marque, ASUSASUS
Modèle, 90PF01X1-M00440
Système d'exploitation, Windows 10Professionnel 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i7-9700K (Octo-Core 3.6GHz / 4.9GHz Turbo - 8Threads - Cache 12Mo)
Processeur, Intel Core i7
Fréquence CPU, 3.6GHz
Chipset, Intel Z390Express
Taille de la mémoire, 64Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-512Go
Disque dur, SSD-512Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA Quadro RTX-4000
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Intégré
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Bluetooth 5.0,  Wi-Fi 6AX"
Connecteurs panneau avant," 1xJack 3,5mm Femelle Stéréo,  2xUSB-3.1,  2xThunderbolt 3/USB-C"
Connecteurs panneau arrière," 1xPort pour clef Kensington,  3xJack 3,5mm Femelle Stéréo,  1xRJ45,  4xUSB-3.0,  2xDisplayPort Femelle,  1xDisplayPort USB Type C,  1xHDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Mini PC
Largeur, 95mm
Hauteur, 283mm
Profondeur, 300mm
Poids, 6kg
Monté, Oui
Usage, Professionnel
Technologie Intel vPro, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
