,0
Désignation, MSI VortexW25 8SM-098FR
Marque, MSIMSI
Modèle, VORTExW25 8SM-098FR
Système d'exploitation, Windows 10Professionnel 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i7-8700 (Hexa-Core 3.2GHz / 4.6GHz Turbo - Cache 12Mo)
Processeur, Intel Core i7
Fréquence CPU, 3.2GHz
Chipset, Intel Z370Express
Taille de la mémoire, 32Go
Type de mémoire, DDR4
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-512Go + HDD-1To
Disque dur, SSD-512Go
Disque secondaire, HDD-1To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Vitesse de rotation, 7200RPM
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA Quadro P5200
Taille mémoire vidéo, 16Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, 1xQualcomm Atheros Killer E2500
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Bluetooth 5.0,  Wi-Fi AC"
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  2xUSB-3.0,  1xUSB-3.0Type C,  1xHDMI-2.0Femelle"
Connecteurs panneau arrière," 1xAudio numérique S/PDIF Optique,  1xRJ45,  2xUSB-3.0,  1xUSB-3.1Type C Femelle,  1xHDMI-2.0Femelle"
Clavier et souris fournis, Non
Format de PC, Mini PC
Largeur, 43mm
Hauteur, 331mm
Profondeur, 279mm
Poids, 2.5kg
Puissance, 230W
Monté, Oui
Usage, Professionnel
Technologie Intel vPro, Non
Garantie légale, Voir les modalités
