,0
Désignation, LDLC PC10SkyRRoZ Delta
Marque, LDLCLDLC
Modèle, PC10SKYRROZ DELTA
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i5-9600KF (6-Core - 3.7GHz / 4.6GHz Turbo - Cache 9Mo - TDP-95W)
Processeur, Intel Core i5
Fréquence CPU, 3.7GHz
Chipset, Intel B365Express
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-960Go
Disque dur, SSD-960Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2060SUPER
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, Intel I219-V
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  2xUSB-2.0,  1xUSB-3.0"
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  2xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  3xUSB-3.0,  1xUSB-3.0Type C,  3xDisplayPort Femelle,  1xHDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Monté, Oui
Technologie Intel vPro, Non
Garantie légale, Voir les modalités
