,0
Désignation, ASUS Vivobook R12W202NA-GJ0026R
Marque, ASUSASUS
Modèle, 90NX0FU1-M00480
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Celeron
Plateforme (Proc.), Intel Apollo Lake
Type de processeur, Intel Celeron N3350 (Dual-Core 1.1GHz / 2.4GHz Turbo - Cache 2Mo - TDP-6W)
Fréquence CPU, 1.1GHz
Nombre de core, 2
Taille de la mémoire, 4Go
Nombre de barrettes, 1
Nombre de slots mémoire disponibles, 0
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Chipset graphique, Intel HD Graphics 500
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 11.6pouces
Résolution Max, 1366x768pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), eMMC-64Go
Disque dur, eMMC-64Go
Disque secondaire, Sans disque secondaire
Type de Disque, eMMC (Puce à mémoire Flash)
Interface du disque dur, Serial ATA-6Gb/s (SATA Revision 3)
Nombre de disques, 1
Nombre de disques max, 1
Lecteur Optique, Aucun
Lecteur de cartes, micro SD
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.2
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  2xUSB-3.0,  1xHDMI Femelle"
Couleur, Bleu
Profondeur, 200mm
Largeur, 294mm
Epaisseur, 22.5mm
Poids, 1.2kg
Gamme, ASUS Vivobook
Ultrabook, Non
Hybride / Convertible, Non
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
