,0
Désignation, ASUS D340MF-I39100002R
Marque, ASUSASUS
Modèle, 90PF01W3-M01120
Système d'exploitation, Windows 10Professionnel 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i3-9100 (Quad-Core 3.6GHz / 4.2GHz Turbo - Cache 6Mo)
Processeur, Intel Core i3
Fréquence CPU, 3.6GHz
Chipset, Intel H310Express
Taille de la mémoire, 4Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-256Go
Disque dur, SSD-256Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, Intel UHD Graphics 630
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Non
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, 1xRealtek RTL8111H
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Bluetooth 4.1,  Wi-Fi AC"
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  4xUSB-3.0"
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  2xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  2xUSB-3.0,  1xDVI Femelle,  1xHDMI Femelle,  1xVGA (D-sub 15Femelle)"
Clavier et souris fournis, Oui
Format de PC, Tour
Largeur, 160mm
Hauteur, 373mm
Profondeur, 307mm
Poids, 7kg
Puissance, 350W
Monté, Oui
Usage, Professionnel
Technologie Intel vPro, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
