,0
Désignation, LDLC PC10Zener
Marque, LDLCLDLC
Modèle, PC10ZENER
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), AMD Zen+
Type de processeur, AMD Ryzen 5 2600 (6-Core 3.4GHz / 3.9GHz Turbo - Cache 19Mo - TDP-65W)
Processeur, AMD Ryzen 5
Fréquence CPU, 3.4GHz
Chipset, AMD B450
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-240Go + HDD-1To
Disque dur, SSD-240Go
Disque secondaire, HDD-1To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce GTX-1050Ti
Taille mémoire vidéo, 4Go
Type de multi-GPU, CrossFireX
VR Ready (réalité virtuelle), Non
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Realtek RTL8111H
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi N-300Mbps (IEEE-802.11n)
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  2xUSB-2.0,  2xUSB-3.0"
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  3xUSB-3.0,  1xUSB-3.0Type C,  1xDisplayPort Femelle,  1xDVI Femelle,  1xHDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Largeur, 201mm
Hauteur, 520mm
Profondeur, 494mm
Puissance, 500W
Monté, Oui
Garantie légale, Voir les modalités
