,0
Désignation, Acer Nitro 5AN515-54-592Y
Marque, AcerAcer
Modèle, NH.Q59EF.022
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i5
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i5-9300H (Quad-Core 2.4GHz / 4.1GHz Turbo - Cache 8Mo - TDP-45W)
Fréquence CPU, 2.4GHz
Nombre de core, 4
Taille de la mémoire, 8Go
Nombre de barrettes, 1
Nombre de slots mémoire disponibles, 1
Type de mémoire, DDR4
Taille de mémoire Max, 32Go
Chipset graphique, NVIDIA GeForce GTX-1650
Taille mémoire vidéo, 4Go
Type mémoire vidéo, GDDR5
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-512Go
Disque dur, SSD-512Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - SATA-6Gb/s
Nombre de disques, 1
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes, Aucun
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1xRJ45Femelle,  1xUSB-2.0,  2xUSB-3.0,  1xUSB-3.0Type C,  1xHDMI-2.0Femelle"
Couleur, Noir
Profondeur, 255mm
Largeur, 363.4mm
Epaisseur, 25.9mm
Poids, 2.3kg
Gamme, Acer Nitro
Ultrabook, Non
Hybride / Convertible, Non
Autonomie, 8Heure(s)
Capacité de la batterie, 3580mAh
Nombre de cellules, 4
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
