,0
Désignation, LDLC Bellone XF6-I7-32-H20S20
Marque, LDLCLDLC
Modèle, XF6-I7-32-H20S20
Système d'exploitation, Sans OS
Famille OS, Sans OS
Système d'exploitation fourni, Non
Marque processeur, Intel
Processeur, Intel Core i7
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i7-8750H (Hexa-Core 2.2GHz / 4.1GHz Turbo - 12Threads - Cache 9Mo)
Fréquence CPU, 2.2GHz
Nombre de core, 6
Chipset, Mobile Intel HM370Express
Taille de la mémoire, 32Go
Nombre de barrettes, 2
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Taille de mémoire Max, 64Go
Chipset graphique, NVIDIA GeForce RTX-2060
Taille mémoire vidéo, 6Go
Type mémoire vidéo, GDDR6
Max-Q (Design GPU), Non
Ecran tactile, Non
Type d'écran, LED
Taille de l'écran, 16.1pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Oui
Taux de rafraîchissement, 144Hz
Configuration disque(s), SSD-1To + HDD-2To
Disque dur, SSD-1To
Disque secondaire, HDD-2To
Type de Disque, SSD (Solid State Drive)
Vitesse de rotation, 5400RPM
Interface du disque dur, M.2 - SATA-6Gb/s
Nombre de disques, 2
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," Multimedia Card,  RS MultiMedia Card,  mini SD,  SD (Secure Digital),  SDHC,  SDXC,  UHS-II"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Accessoires Supplémentaires," Antivol,  Sacoche de transport"
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1xRJ45,  2xUSB-3.0,  1xUSB-3.1Type C,  1xMini DisplayPort,  1xHDMI Femelle"
Couleur, Noir
Profondeur, 252mm
Largeur, 380mm
Epaisseur, 19.9mm
Poids, 2.09kg
Gamme, LDLC Bellone
Ultrabook, Non
Hybride / Convertible, Non
Nombre de cellules, 4
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeurGarantie limitée

Les PC Portables de marque LDLC bénéficient d'une garantie commerciale de 2ans. Cette garantie ne s'applique pas aux batteries contenues dans ces équipements. Les batteries contenues dans les PC Portables LDLC bénéficient quant à elles d'une garantie commerciale de 6mois.
Garantie légale, Voir les modalités
