,0
Désignation, LDLC PC Zenartic
Marque, LDLCLDLC
Modèle, PC ZENARTIC
Système d'exploitation, Sans OS
Système d'exploitation fourni, Non
Plateforme (Proc.), AMD Zen+
Type de processeur, AMD Ryzen 5 2600 (6-Core 3.4GHz / 3.9GHz Turbo - Cache 19Mo - TDP-65W)
Processeur, AMD Ryzen 5
Fréquence CPU, 3.4GHz
Chipset, AMD B450
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3000MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-480Go
Disque dur, SSD-480Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2070
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Non
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  2xUSB-2.0,  2xUSB-3.0"
Connecteurs panneau arrière," 5xJack 3,5mm Femelle Stéréo,  1xAudio numérique S/PDIF Optique,  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  4xUSB-3.0,  1xUSB-3.1,  1xUSB-3.1Type C Femelle,  1xDisplayPort Femelle,  2xDVI Femelle,  1xHDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Puissance, 600W
Monté, Oui
Garantie légale, Voir les modalités
