,0
Désignation, ASUS ROG Zephyrus G GA532DU-AL005T
Marque, ASUSASUS
Modèle, ZEPHYRUS-G-GA532DU-AL005T
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, AMD
Processeur, AMD Ryzen 7
Plateforme (Proc.), AMD Zen+
Type de processeur, AMD Ryzen 7 3750H (Quad Core 2.3GHz / 4GHz Turbo - Cache 4Mo)
Fréquence CPU, 2.3GHz
Nombre de core, 4
Taille de la mémoire, 8Go
Nombre de barrettes, 1
Nombre de slots mémoire disponibles, 1
Type de mémoire, DDR4
Taille de mémoire Max, 24Go
Chipset graphique, NVIDIA GeForce GTX-1660Ti
Taille mémoire vidéo, 6Go
Type mémoire vidéo, GDDR6
Max-Q (Design GPU), Oui
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Oui
Taux de rafraîchissement, 120Hz
Configuration disque(s), SSD-512Go
Disque dur, SSD-512Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - PCI-E NVMe
Nombre de disques, 1
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes, Aucun
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Non
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1xMicro (Jack3.5mm Femelle),  1xRJ45,  3xUSB-3.0,  1xUSB-3.1Type C,  1xHDMI-2.0Femelle"
Couleur, Noir
Profondeur, 252mm
Largeur, 360mm
Epaisseur Avant, 19.9mm
Epaisseur Arrière, 20.4mm
Poids, 2.2kg
Gamme, ASUS ROG
Ultrabook, Non
Hybride / Convertible, Non
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
