,0
Désignation, LDLC PC DegaN
Marque, LDLCLDLC
Modèle, PC DEGAN
Système d'exploitation, Sans OS
Système d'exploitation fourni, Non
Plateforme (Proc.), AMD Zen 2
Type de processeur, AMD Ryzen 5 3600 (Hexa-Core 3.6GHz / 4.2GHz Turbo - GameCache 35Mo)
Processeur, AMD Ryzen 5
Fréquence CPU, 3.6GHz
Chipset, AMD X570
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3000MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-480Go
Disque dur, SSD-480Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur de disquettes, Non
Chipset graphique, AMD Radeon RX-5700
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, Realtek RTL8111H
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," Casque (Jack 3.5mm Femelle),  Micro (Jack3.5mm Femelle),  2xUSB-2.0,  1xUSB-3.0"
Connecteurs panneau arrière," 5xJack 3,5mm Mâle Stéréo,  1xAudio numérique S/PDIF Optique,  Bouton màj BIOS,  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  4xUSB-3.0,  1xUSB-3.1,  1xUSB-3.1Type C,  DisplayPort Femelle,  HDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Puissance, 550W
Monté, Oui
Garantie légale, Voir les modalités
