,0
Désignation, ASUS ROG Zephyrus M GM501GS-EI005T
Marque, ASUSASUS
Modèle, ZEPHYRUS-M-GM501GS-EI005T
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i7
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i7-8750H (Hexa-Core 2.2GHz / 4.1GHz Turbo - Cache 9Mo)
Fréquence CPU, 2.2GHz
Nombre de core, 6
Chipset, Mobile Intel HM370Express
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Taille de mémoire Max, 32Go
Chipset graphique, NVIDIA GeForce GTX-1070
Taille mémoire vidéo, 8Go
Type mémoire vidéo, GDDR5
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Oui
VR Ready (réalité virtuelle), Oui
Taux de rafraîchissement, 144Hz
Configuration disque(s), SSD-256Go + HDD-1To
Disque dur, SSD-256Go
Disque secondaire, HDD-1To
Type de Disque," SSD (Solid State Drive),  SSHD (Hybride SSD/HDD)"
Vitesse de rotation, 5400RPM
Interface du disque dur," M.2 - PCI-E NVMe,  Serial ATA"
Nombre de disques, 2
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes, Aucun
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Oui
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  4xUSB-3.1,  1xUSB-3.1Type C Femelle,  1xHDMI-2.0Femelle"
Couleur, Noir
Profondeur, 262mm
Largeur, 384mm
Epaisseur Avant, 17.5mm
Epaisseur Arrière, 19.9mm
Poids, 2.45kg
Gamme, ASUS ROG
Ultrabook, Non
Hybride / Convertible, Non
Nombre de cellules, 4
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
