,0
Désignation, ASUS ROG G21CX-FR008T
Marque, ASUSASUS
Modèle, 90PD02U1-M00360
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i7-9700K (Octo-Core 3.6GHz / 4.9GHz Turbo - 8Threads - Cache 12Mo)
Processeur, Intel Core i7
Fréquence CPU, 3.6GHz
Chipset, Intel Z390Express
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-256Go + HDD-1To
Disque dur, SSD-256Go
Disque secondaire, HDD-1To
Type de Disque Système," HDD (Hard Disk Drive),  SSD (Solid State Drive)"
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Vitesse de rotation, 7200RPM
Lecteur Optique, Graveur DVD Super Multi
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2080
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Intégré
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Bluetooth 5.0,  Wi-Fi AC"
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  2xUSB-3.0Type C,  1xUSB-3.1"
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  1xAudio numérique S/PDIF,  1xRJ45Femelle,  4xUSB-3.0,  2xUSB-3.1,  1xUSB-3.1Type C,  2xDisplayPort Femelle,  1xHDMI Femelle"
Clavier et souris fournis, Oui
Format de PC, Tour
Largeur, 129mm
Hauteur, 366mm
Profondeur, 372mm
Poids, 8.5kg
Monté, Oui
Technologie Intel vPro, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
