,0
Marque, ZOTACZOTAC
Modèle, G1107TK701B-BE-W3P
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Kaby Lake
Type de processeur, Intel Core i7-7700 (Quad-Core 3.6GHz / 4.2GHz Turbo - Cache 8Mo - TDP-65W)
Processeur, Intel Core i7
Fréquence CPU, 3.6GHz
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-240Go + HDD-1To
Disque dur, SSD-240Go
Disque secondaire, HDD-1To
Type de Disque Système," SSD (Solid State Drive),  HDD (Hard Disk Drive)"
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce GTX-1070Ti
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, 2xIntégré
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Wi-Fi AC,  Bluetooth 4.2"
Connecteurs panneau avant, Aucun(e)
Connecteurs panneau arrière," 1xAudio numérique S/PDIF Optique,  2xUSB-2.0,  2xGigabit Ethernet - RJ45Femelle,  2xSMA Femelle,  1xMiniDin 6Femelle (PS/2),  1xDVI-D Dual Link Femelle (24+1),  Analogique 7.1 (8xRCA Femelle),  6xUSB-3.0,  3xDisplayPort Femelle,  1xHDMI-2.0Femelle"
Clavier et souris fournis, Non
Format de PC, Mini PC
Format du boitier, Mini PC
Largeur, 418.32mm
Hauteur, 415.15mm
Profondeur, 118.01mm
Puissance, 450W
Monté, Oui
Garantie légale, Voir les modalités
