,0
Désignation, Dell Alienware Aurora R9 (AWR9-9991)
Marque, AlienwareAlienware
Modèle, STARHAWK_CFLR_2005_01
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i7-9700 (Octo-Core 3GHz / 4.7GHz Turbo - 8Threads - Cache 12Mo)
Processeur, Intel Core i7
Fréquence CPU, 3GHz
Chipset, Intel Z370Express
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-256Go + HDD-2To
Disque dur, SSD-256Go
Disque secondaire, HDD-2To
Type de Disque Système," HDD (Hard Disk Drive),  SSD (Solid State Drive)"
Interface avec l'ordinateur disque dur système, M.2 - SATA-6Gb/s
Vitesse de rotation, 7200RPM
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2070
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Intégré
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Bluetooth 5.0,  Wi-Fi 6AX"
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  3xUSB-3.0,  1xUSB-3.0Type C"
Connecteurs panneau arrière," 6xJack 3,5mm Femelle Stéréo,  1xAudio numérique S/PDIF Optique,  1xRJ45Femelle,  5xUSB-2.0,  3xUSB-3.0,  1xUSB-3.1,  1xUSB-3.1Type C,  3xDisplayPort Femelle,  1xHDMI Femelle"
Clavier et souris fournis, Oui
Format de PC, Tour
Largeur, 222.8mm
Hauteur, 481.6mm
Profondeur, 431.6mm
Poids, 17.8kg
Puissance, 850W
Monté, Oui
Technologie Intel vPro, Non
Garantie commerciale, 1an constructeur
Garantie légale, Voir les modalités
