,0
Désignation, ASUS TUF565DU-AL008T
Marque, ASUSASUS
Modèle, 90NR0271-M00080
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, AMD Ryzen 7
Plateforme (Proc.), AMD Zen+
Type de processeur, AMD Ryzen 7 3750H (Quad Core 2.3GHz / 4GHz Turbo - Cache 4Mo)
Fréquence CPU, 2.3GHz
Nombre de core, 4
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Taille de mémoire Max, 32Go
Chipset graphique, NVIDIA GeForce GTX-1660Ti
Taille mémoire vidéo, 6Go
Type mémoire vidéo, GDDR6
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Oui
Taux de rafraîchissement, 120Hz
Configuration disque(s), SSD-512Go
Disque dur, SSD-512Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - PCI-E NVMe
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes, Aucun
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Oui
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1xRJ45Femelle,  1xUSB-2.0,  2xUSB-3.0,  1xHDMI-2.0Femelle"
Couleur, Noir
Profondeur, 262mm
Largeur, 360mm
Epaisseur Avant, 25mm
Epaisseur Arrière, 26mm
Poids, 2.2kg
Gamme, ASUS TUF
Ultrabook, Non
Hybride / Convertible, Non
Nombre de cellules, 3
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
