,0
Désignation, Dell OptiPlex3070Micro (TP4P1)
Marque, DellDell
Modèle, TP4P1
Système d'exploitation, Windows 10Professionnel 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i3-9100T (Quad-Core 3.1GHz / 3.7GHz Turbo - Cache 6Mo)
Processeur, Intel Core i3
Fréquence CPU, 3.1GHz
Taille de la mémoire, 4Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), HDD-500Go
Disque dur, 500Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, HDD (Hard Disk Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, Intel UHD Graphics 630
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Non
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, Intégré
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," 1xJack 3,5mm Femelle Stéréo,  1xMicro (Jack3.5mm Femelle),  2xUSB-3.0"
Connecteurs panneau arrière," 1xRJ45Femelle,  2xUSB-2.0,  2xUSB-3.0,  1xDisplayPort Femelle,  1xHDMI Femelle"
Format de PC, Tour
Largeur, 36mm
Hauteur, 182mm
Profondeur, 178mm
Poids, 1.18kg
Monté, Oui
Usage, Professionnel
Technologie Intel vPro, Non
Garantie commerciale, 1an constructeur
Garantie légale, Voir les modalités
