,0
Désignation, LDLC Aurore NJ5S-16-S9
Marque, LDLCLDLC
Modèle, NJ5S-16-S9
Système d'exploitation, Sans OS
Famille OS, Sans OS
Système d'exploitation fourni, Non
Marque processeur, Intel
Processeur, Intel Core i5
Plateforme (Proc.), Intel Comet Lake
Type de processeur, Intel Core i5-10210U (Quad-Core 1.6GHz / 4.2GHz Turbo - Cache 6Mo - TDP-25W)
Fréquence CPU, 1.6GHz
Nombre de core, 4
Taille de la mémoire, 16Go
Nombre de barrettes, 1
Nombre de slots mémoire disponibles, 1
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Taille de mémoire Max, 32Go
Chipset graphique, Intel UHD Graphics
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-960Go
Disque dur, SSD-960Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - SATA-6Gb/s
Nombre de disques, 1
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," Multimedia Card,  RS MultiMedia Card,  mini SD,  mini SDHC,  mini SDXC,  SD (Secure Digital),  SDHC,  SDXC"
Norme(s) réseau," 10/100/1000Mbps,  Wi-Fi 6AX"
Norme(s) réseau sans-fil, Wi-Fi 6AX
Technologie Bluetooth, Bluetooth 5.1
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 2xJack 3,5mm Femelle Stéréo,  1xRJ45Femelle,  2xUSB-2.0,  1xUSB-3.0,  1xUSB-3.1Type C,  1xHDMI Femelle,  1xVGA (D-sub 15Femelle)"
Couleur, Noir
Profondeur, 256mm
Largeur, 361mm
Epaisseur, 24.1mm
Poids, 2kg
Gamme, LDLC Aurore
Ultrabook, Non
Hybride / Convertible, Non
Autonomie, 9Heure(s)
Nombre de cellules, 4
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeurGarantie limitée

Les PC Portables de marque LDLC bénéficient d'une garantie commerciale de 2ans. Cette garantie ne s'applique pas aux batteries contenues dans ces équipements. Les batteries contenues dans les PC Portables LDLC bénéficient quant à elles d'une garantie commerciale de 6mois.
Garantie légale, Voir les modalités
