,0
Désignation, LDLC PC10Pablo
Marque, LDLCLDLC
Modèle, PC10PABLO
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), AMD Zen 2
Type de processeur, AMD Ryzen 3 3200G (Quad-Core 3.6GHz / 4GHz Turbo - Cache 4Mo)
Processeur, AMD Ryzen 3
Fréquence CPU, 3.6GHz
Chipset, AMD A320
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3000MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-480Go
Disque dur, SSD-480Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur de disquettes, Non
Chipset graphique, AMD Radeon Vega 8Graphics
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, Realtek RTL8111H
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," Casque (Jack 3.5mm Femelle),  Micro (Jack3.5mm Femelle),  2xUSB-2.0,  1xUSB-3.0"
Connecteurs panneau arrière," 3xJack 3,5mm Mâle Stéréo,  2xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  4xUSB-3.0,  1xDVI Femelle,  1xHDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Puissance, 700W
Monté, Oui
Technologie Intel vPro, Non
Garantie légale, Voir les modalités
