,0
Désignation, ASUS E203MA-FD017TS
Marque, ASUSASUS
Modèle, E203MA-FD017TS
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Celeron
Plateforme (Proc.), Intel Gemini Lake
Type de processeur, Intel Celeron N4000 (Dual-Core 1.1GHz / 2.6GHz Rafale - Cache 4Mo)
Fréquence CPU, 1.1GHz
Nombre de core, 2
Taille de la mémoire, 4Go
Type de mémoire, DDR4
Taille de mémoire Max, 4Go
Chipset graphique, Intel UHD Graphics 600
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 11.6pouces
Résolution Max, 1366x768pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Non
Dalle brillante, Oui
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), eMMC-64Go
Disque dur, eMMC-64Go
Disque secondaire, Sans disque secondaire
Type de Disque, eMMC (Puce à mémoire Flash)
Emplacement mSATA/M.2, Aucun
Lecteur Optique, Aucun
Lecteur de cartes, micro SD
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.1
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Office fourni, Oui
Connecteur(s) disponible(s)," 1xHDMI Femelle,  1xJack 3,5mm Femelle Stéréo,  2xUSB-3.0,  1xUSB-3.0Type C"
Couleur," Bleu,  Gris"
Profondeur, 193mm
Largeur, 286mm
Epaisseur, 16.9mm
Poids, 1.2kg
Ultrabook, Non
Hybride / Convertible, Non
Autonomie, 10Heure(s)
Nombre de cellules, 2
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
