,0
Désignation, ASUS VivoBook Flip14TP412FA-EC495R
Marque, ASUSASUS
Modèle, 90NB0N31-M10430
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i5
Plateforme (Proc.), Intel Comet Lake
Type de processeur, Intel Core i5-10210U (Quad-Core 1.6GHz / 4.2GHz Turbo - 8Threads - Cache 6Mo)
Fréquence CPU, 1.6GHz
Nombre de core, 4
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Chipset graphique, Intel UHD Graphics
Max-Q (Design GPU), Non
Ecran tactile, Oui
Type de Dalle, Dalle IPS
Type d'écran, LED tactile
Taille de l'écran, 14pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Non
Dalle brillante, Oui
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-256Go
Disque dur, SSD-256Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - PCI-E
Nombre de disques, 1
Nombre de disques max, 1
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," SD (Secure Digital),  SDHC,  SDXC"
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.2
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  2xUSB-2.0,  1xUSB-3.0,  1xUSB-3.0Type C,  1xHDMI Femelle"
Couleur, Gris
Profondeur, 225mm
Largeur, 327mm
Epaisseur, 17.6mm
Poids, 1.5kg
Gamme, ASUS Vivobook
Ultrabook, Oui
Hybride / Convertible, Oui
Nombre de cellules, 3
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
