,0
Désignation, ASUS Vivobook 17M712DA-BX045T
Marque, ASUSASUS
Modèle, M712DA-BX045T
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, AMD
Processeur, AMD Ryzen 7
Plateforme (Proc.), AMD Zen+
Type de processeur, AMD Ryzen 7 3700U (Quad-Core 2.3GHz / 4.0GHz Turbo - 8Threads - Cache L3 4Mo)
Fréquence CPU, 2.3GHz
Nombre de core, 4
Taille de la mémoire, 8Go
Nombre de barrettes, 1
Nombre de slots mémoire disponibles, 0
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Taille de mémoire Max, 12Go
Chipset graphique, AMD Radeon RxVega 10Graphics
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 17.3pouces
Résolution Max, 1600x900pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-128Go + HDD-1To
Disque dur, SSD-128Go
Disque secondaire, HDD-1To
Type de Disque," HDD (Hard Disk Drive),  SSD (Solid State Drive)"
Vitesse de rotation, 5400RPM
Interface du disque dur, M.2 - SATA-6Gb/s
Nombre de disques, 2
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes, micro SD
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.1
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  2xUSB-2.0,  1xUSB-3.0,  1xUSB-3.0Type C,  1xHDMI Femelle"
Couleur, Gris
Profondeur, 256mm
Largeur, 406mm
Epaisseur, 21.4mm
Poids, 2.3kg
Gamme, ASUS Vivobook
Ultrabook, Non
Hybride / Convertible, Non
Capacité de la batterie, 32Wh
Nombre de cellules, 2
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2ans constructeur
Garantie légale, Voir les modalités
