,0
Désignation, Lenovo ThinkCentre V530-15ICR (11BH003JFR)
Marque, LenovoLenovo
Modèle, 11BH003JFR
Système d'exploitation, Windows 10Professionnel 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Pentium Gold G5400 (Dual-Core 3.7GHz - Cache 4Mo - TDP-58W)
Processeur, Intel Pentium
Fréquence CPU, 3.7GHz
Chipset, Intel B365Express
Taille de la mémoire, 4Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Capacité maximale de RAM par slot, 8Go
Capacité maximale de RAM, 32Go
Configuration disque(s), HDD-1To
Disque dur, 1To
Disque secondaire, Sans disque secondaire
Type de Disque Système, HDD (Hard Disk Drive)
Interface avec l'ordinateur disque dur système, Serial ATA
Vitesse de rotation, 7200RPM
Lecteur Optique, Graveur DVD Double Couche
Lecteur de disquettes, Non
Chipset graphique, Intel UHD Graphics 610
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Non
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, Realtek RTL8111HN
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  6xUSB-3.0"
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  1xSérie (RS-232),  1xRJ45Femelle,  4xUSB-2.0,  1xDisplayPort Femelle,  1xHDMI Femelle,  1xVGA (D-sub 15Femelle)"
Clavier et souris fournis, Oui
Format de PC, Tour
Format du boitier, Mini Tour
Largeur, 145mm
Hauteur, 360mm
Profondeur, 276mm
Poids, 5.7kg
Puissance, 180W
Monté, Oui
Usage, Professionnel
Technologie Intel vPro, Non
Garantie commerciale, 1an constructeur
Garantie légale, Voir les modalités
