,0
Désignation, Lenovo 300e Gen 2 (81M9000KFR)
Marque, LenovoLenovo
Modèle, 81M9000KFR
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Celeron
Plateforme (Proc.), Intel Gemini Lake
Type de processeur, Intel Celeron N4100 (Quad-Core 1.1GHz / 2.4GHz Rafale - Cache 4Mo)
Fréquence CPU, 1.1GHz
Nombre de core, 4
Taille de la mémoire, 4Go
Nombre de barrettes, 1
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Taille de mémoire Max, 4Go
Chipset graphique, Intel UHD Graphics 600
Max-Q (Design GPU), Non
Ecran tactile, Oui
Type de Dalle, Dalle IPS
Type d'écran, LED tactile
Taille de l'écran, 11.6pouces
Résolution Max, 1366x768pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), eMMC-64Go
Disque dur, eMMC-64Go
Type de Disque, eMMC (Puce à mémoire Flash)
Emplacement mSATA/M.2, Aucun
Lecteur Optique, Aucun
Lecteur de cartes, micro SD
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  2xUSB-3.0,  1xUSB-3.0Type C,  1xHDMI Femelle"
Couleur, Noir
Profondeur, 204mm
Largeur, 290mm
Epaisseur, 20.85mm
Poids, 1.31kg
Ultrabook, Non
Hybride / Convertible, Non
Autonomie, 10Heure(s)
Capacité de la batterie, 42Wh
Batterie amovible, Non
Chargeur secteur USB-C, Oui
Garantie commerciale, 1an constructeur
Garantie légale, Voir les modalités
