,0
Désignation, Lenovo ThinkCentre M720Tiny (10T700ADFR)
Marque, LenovoLenovo
Modèle, 10T700ADFR
Système d'exploitation, Windows 10Professionnel 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i5-9400T (Hexa-Core 1.8GHz / 3.4GHz Turbo - 6Threads - Cache 9Mo)
Processeur, Intel Core i5
Fréquence CPU, 1.8GHz
Chipset, Intel B360Express
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), HDD-1To
Disque dur, 1To
Disque secondaire, Sans disque secondaire
Type de Disque Système, HDD (Hard Disk Drive)
Interface avec l'ordinateur disque dur système, Serial ATA
Vitesse de rotation, 7200RPM
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, Intel UHD Graphics 630
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Non
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, 1xIntel I219-V
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Wi-Fi AC,  Bluetooth 4.2"
Connecteurs panneau avant," 1xMicro (Jack3.5mm Femelle),  1xCasque (Jack 3.5mm Femelle),  1xUSB-3.0,  1xUSB-3.0Type C"
Connecteurs panneau arrière," 1xHDMI Femelle,  1xRJ45Femelle,  2xUSB-3.0,  1xDisplayPort Femelle,  2xUSB-3.1"
Clavier et souris fournis, Oui
Format de PC, Mini PC
Format du boitier, Mini PC
Largeur, 179mm
Hauteur, 34.5mm
Profondeur, 182.9mm
Poids, 1.32kg
Puissance, 65W
Monté, Oui
Usage, Professionnel
Technologie Intel vPro, Non
Garantie commerciale, 3ans constructeur
Garantie légale, Voir les modalités
